Day,Actual_Daily_Cases,Fitted_Daily_Cases,Segment
12,1,1.0,First Segment
13,1,5.801183038661243,First Segment
14,3,6.243055240099892,First Segment
15,4,6.677667859184631,First Segment
16,8,7.135093221512953,First Segment
17,9,7.5595531810229915,First Segment
18,12,7.977718502228441,First Segment
19,11,8.35183109649428,First Segment
20,8,8.661538771238455,First Segment
21,12,8.911888565605736,First Segment
22,3,9.045150588650188,First Segment
23,18,9.089385583824821,First Segment
24,8,8.980547003544729,First Segment
25,3,8.754869892197519,First Segment
26,9,8.363381653873773,First Segment
27,6,7.846234832667932,First Segment
28,9,7.181072350627431,First Segment
29,7,6.412809506112808,First Segment
30,3,5.548785505951514,First Segment
31,7,4.638279693740856,First Segment
32,4,3.7136370209587426,First Segment
33,1,2.8231558177647287,First Segment
34,1,2.214319511860367,Second Segment
35,3,2.378941001780106,Second Segment
36,4,2.523063066571922,Second Segment
37,1,2.6212591154256017,Second Segment
38,5,2.680511671475159,Second Segment
39,0,2.6769024874599268,Second Segment
40,4,2.6201974316886663,Second Segment
41,3,2.4943953999217,Second Segment
42,2,2.3133763144671207,Second Segment
43,1,2.073462290765832,Second Segment
44,2,1.7934376569070594,Second Segment
45,1,1.482876656910321,Second Segment
46,2,1.1640467843651265,Second Segment
47,1,0.8557085184339144,Second Segment
